"Story","Title","Result","Date","Stability","Duration (s)"
"End to end categories test","Create new categories","SUCCESS","2020-12-22T16:34:37.831Z[Europe/London]","0.0","5.96"
"End to end categories test","Getting categories information by Id","SUCCESS","2020-12-22T16:34:43.824Z[Europe/London]","0.0","1.23"
"End to end categories test","Getting all categories information","SUCCESS","2020-12-22T16:34:45.060Z[Europe/London]","0.0","0.14"
"End to end categories test","Delete the categories and verify if the categories is deleted!","SUCCESS","2020-12-22T16:34:45.205Z[Europe/London]","0.0","0.98"
"End to end products test","This will create new Product","SUCCESS","2020-12-22T16:34:48.683Z[Europe/London]","0.0","0.11"
"End to end products test","This test will get a specific product by Id","SUCCESS","2020-12-22T16:34:48.797Z[Europe/London]","0.0","0.39"
"End to end products test","Getting  all product information","SUCCESS","2020-12-22T16:34:49.191Z[Europe/London]","0.0","0.25"
"End to end products test","Delete the product and verify if the product is deleted!","SUCCESS","2020-12-22T16:34:49.444Z[Europe/London]","0.0","0.4"
"End to end services test","Create new Service","SUCCESS","2020-12-22T16:34:49.906Z[Europe/London]","0.0","0.07"
"End to end services test","Getting service information by Id","SUCCESS","2020-12-22T16:34:49.980Z[Europe/London]","0.0","0.07"
"End to end services test","Getting all service information","SUCCESS","2020-12-22T16:34:50.056Z[Europe/London]","0.0","0.02"
"End to end services test","Delete the service and verify if the service is deleted!","SUCCESS","2020-12-22T16:34:50.079Z[Europe/London]","0.0","0.15"
"End to end stores test","Create new Store","SUCCESS","2020-12-22T16:34:50.306Z[Europe/London]","0.0","0.06"
"End to end stores test","Getting store information by Id","SUCCESS","2020-12-22T16:34:50.363Z[Europe/London]","0.0","0.12"
"End to end stores test","Getting all stores information","SUCCESS","2020-12-22T16:34:50.480Z[Europe/London]","0.0","0.08"
"End to end stores test","Delete the store and verify if the store is deleted!","SUCCESS","2020-12-22T16:34:50.558Z[Europe/London]","0.0","0.14"
